PubMedID,Entity_1,Entity_2,Sentence,BioBERT_Relation,BioBERT_Conf,PubMedBERT_Relation,PubMedBERT_Conf,BioLinkBERT_Relation,BioLinkBERT_Conf,All_Agree,Avg_Confidence,Ensemble_Result,Ensemble_Conf,Decision_Method,Ensemble_Relation,Ensemble_Confidence,Decision_Status
1294020,Interleukin-6,multifunctional cytokine,Interleukin-6 (IL-6) is a multifunctional cytokine which has been suggested to function as an autocrine mitogen in psoriatic epidermis.,Association,0.8099101781845093,Association,0.8458406925201416,NO_RELATION,0.9836097955703736,False,0.8797868887583414,Association,0.8458406925201416,Accepted_By_Ensemble,Association,0.8458406925201416,Accepted_By_Ensemble
1300486,Tumor necrosis factor,TNF alpha,Tumor necrosis factor alpha (TNF alpha) plays a significant role in the pathogenesis of central nervous system infections.,Association,0.8872334957122803,Association,0.805098295211792,NO_RELATION,0.9952307343482972,False,0.8958541750907898,Association,0.8872334957122803,Accepted_By_Ensemble,Association,0.8872334957122803,Accepted_By_Ensemble
1310016,Tumor necrosis factor,TNF alpha,Tumor necrosis factor alpha (TNF alpha) and parathyroid hormone-related protein (PTHrP) are both factors that have been implicated in the mechanism of hypercalcemia of malignancy.,Association,0.8964650630950928,Association,0.8303296566009521,NO_RELATION,0.9729764461517334,False,0.8999237219492594,Association,0.8964650630950928,Accepted_By_Ensemble,Association,0.8964650630950928,Accepted_By_Ensemble
1311700,Tumor necrosis factor,cytokine,"Tumor necrosis factor (TNF) is a cytokine with pleiotropic effects upon cell growth, inflammation and immunologic responsiveness.",Association,0.8868157863616943,Association,0.8004525899887085,NO_RELATION,0.9872465133666992,False,0.891504963239034,Association,0.8868157863616943,Accepted_By_Ensemble,Association,0.8868157863616943,Accepted_By_Ensemble
1317483,Interleukin-4,cytokine,"Interleukin-4 (IL-4) is a cytokine, with potential anti-neoplastic effects.",Association,0.868704080581665,Association,0.8246074318885803,NO_RELATION,0.9916016459465028,False,0.8949710528055826,Association,0.868704080581665,Accepted_By_Ensemble,Association,0.868704080581665,Accepted_By_Ensemble
1321736,Interleukin-6,80 kDa IL6-binding protein,Interleukin-6 (IL6) exerts its action via a cell surface receptor composed of an 80 kDa IL6-binding protein (gp80) and a 130 kDa polypeptide involved in signal transduction (gp130).,Association,0.9144174456596376,Association,0.8092473149299622,NO_RELATION,0.9035877585411072,False,0.8757508397102356,Association,0.9144174456596376,Accepted_By_Ensemble,Association,0.9144174456596376,Accepted_By_Ensemble
1323842,Granulocyte-macrophage colony-stimulating factor,anti-PY,"Granulocyte-macrophage colony-stimulating factor (GM-CSF), formylmethionylleucylphenylalanine, tumor necrosis factor alpha, platelet-activating factor, phorbol ester (phorbol 12-myristate 13-acetate), and calcium ionophore A23187 are able to increase the level of tyrosine phosphorylation of different protein substrates, as demonstrated by Western blotting with anti-phosphotyrosine antibody (anti-PY).",Association,0.8821998238563538,NO_RELATION,0.8417376279830933,NO_RELATION,0.9962466359138488,False,0.9067280292510986,NO_RELATION,0.9962466359138488,Accepted_By_Ensemble,NO_RELATION,0.9962466359138488,Accepted_By_Ensemble
1328193,Hepatocyte growth factor,heavy chain,Hepatocyte growth factor (HGF) is a heterodimeric protein consisting of a heavy chain and a light chain held by a disulfide bond.,Association,0.9007742404937744,NO_RELATION,0.8760652542114258,NO_RELATION,0.9913043975830078,False,0.922714630762736,NO_RELATION,0.9913043975830078,Accepted_By_Ensemble,NO_RELATION,0.9913043975830078,Accepted_By_Ensemble
1328751,Tumor necrosis factor,TNF alpha,Tumor necrosis factor alpha (TNF alpha) is likely to exert a major influence in the pathogenesis of glomerulopathies.,Association,0.8940560817718506,Association,0.8207723498344421,NO_RELATION,0.986919105052948,False,0.900582512219747,Association,0.8940560817718506,Accepted_By_Ensemble,Association,0.8940560817718506,Accepted_By_Ensemble
1331566,Tumor necrosis factor,lymphotoxin,"Tumor necrosis factor (TNF, also called TNF-alpha) and lymphotoxin (LT, TNF-beta) have 32% homology in their primary structures, and it has recently been clarified that they also have closely related tertially structures.",Association,0.9129908084869384,NO_RELATION,0.9255808591842652,NO_RELATION,0.9959410429000854,False,0.9448375701904297,NO_RELATION,0.9959410429000854,Accepted_By_Ensemble,NO_RELATION,0.9959410429000854,Accepted_By_Ensemble
